# 这是王文倩同学提供的自定义的椭球参数投影文件
#数据文件中的 # : , 均应为英文字符
#可以忽略0个空格的行
#可以忽略有多个空格的行
#CS 指定坐标系 BJ54 XA80 CGCS2000 WGS84 CS00 
#CS: BJ54
#CS: XA80
#CS: CGCS2000
#CS: WGS84
CS: CS00, 6379344.2960, 298.3  
# 此处利用系统默认角度数据格式为D.MMSS, 而且后设置角度格式，而将此处定义为106度25分
L0: 106.25
YKM: 500
N: 35

#FORMAT: BL or XY or BLXY or XYBL
FORMAT: BL

# 角度的单位， 默认为 D.MMSS
# ANGLE : DEGREE D.MMSSS RADIAN 
ANGLE: DEGREE

#点名, B, L
GPSⅠ194,	25.89868778,	106.2681108
GPSⅠ195,	25.89530872,	106.2670586
GPSⅠ196,	25.88958734,	106.2622043
GPSⅠ197,	25.884327	    ,    106.2617568
GPSⅠ198,	25.88253366,	106.2596794
GPSⅠ199,	25.87902107,	106.2572414
GPSⅠ200,	25.87374362,	106.250351
GPSⅠ202,	25.82983646,	106.2102878
GPSⅠ203,	25.82631356,	106.2077686
GPSⅠ204,	25.82568462,	106.2023854
GPSⅠ205,	25.82132055,	106.200295
GPSⅠ206,	25.60975529,	105.8999006
GPSⅠ207,	25.60886805,	105.896022
GPSⅠ208,	25.60336818,	105.8958591
GPSⅠ209,	25.5993258	,    105.8973496
GPSⅠ210,	25.59595991,	105.8966823
GPSⅠ211,	25.5887883	,    105.8976874
GPSⅠ212,	25.58420671,	105.8959341
GPSⅠ213,	25.58163775,	105.8946653
GPSⅠ214,	25.57999939,	105.8890268
GPSⅠ215,	25.57829737,	105.8840597
GPSⅠ216,	25.44079648,	105.5534069
GPSⅠ217,	25.44579795,	105.5473687
GPSⅠ218,	25.44672149,	105.5422545
GPSⅠ219,	25.4468975	,    105.5355481
GPSⅠ220,	25.4489773	,    105.5297991
GPSⅠ221,	25.45520068,	105.5263113
GPSⅠ222,	25.4590782	,    105.5220211
GPSⅠ223,	25.46654715,	105.5129827
GPSⅠ224,	25.46998453,	105.5126109
GPSⅠ225,	25.45870592,	105.509999
GPSⅠ226,	25.45690397,	105.5029064
GPSⅠ227,	25.9790456	,    106.3822771
GPSⅠ228,	25.98124281,	106.3856037
GPSⅠ229,	25.98498471,	106.388372
GPSⅠ230,	25.98601648,	106.3934748
GPSⅠ231,	25.98698314,	106.3974677
GPSⅠ232,	25.98587588,	106.4025589
GPSⅠ233,	25.45753004,	105.4981592
GPSⅠ234,	25.4590745	,    105.4933554
GPSⅠ235,	25.45918501,	105.4873724
GPSⅠ236,	25.4606809	,    105.480158
GPSⅠ237,	25.46378188,	105.4725144
GPSⅠ238,	25.46138936,	105.4753069
GPSⅠ239,	25.46448487,	105.4676228
GPSⅠ240,	25.46301865,	105.463823
GPSⅠ241,	25.46497856,	105.4589452
GPSⅠ242,	25.45456259,	105.4964855
GPSⅠ243,	25.45404897,	105.4924088
GPSⅠ244,	25.4518514	,    105.4861824
GPSⅠ245,	25.45435888,	105.4799998
GPSⅠ246,	25.45515274,	105.4751334
GPSⅠ247,	25.45674216,	105.46958
