#数据文件中的 # : , 均应为英文字符
#可以忽略0个空格的行
#可以忽略有多个空格的行
#CS 指定坐标系 BJ54 XA80 CGCS2000 WGS84 CS00
#CS: BJ54
#CS: XA80
#CS: WGS84
#CS: CGCS2000
#CS: CS00, 6378137, 298.257222101
CS: CS00, 6379344.296, 298.3
#角度数据格式为D.MMSS
L0: 106.25
YKM: 0
N: 0
#角度的单位，默认为 D.MMSS
#ANGLE : DEGREE D.MMSSS RADIAN
ANGLE: D.MMSSS
#FORMAT: BL or XY or BLXY or XYBL
FORMAT: BL
#点名, B, L, X, Y, 子午线收敛角(γ),长度比(m)
GPSⅠ035, 26.014976058, 106.303279132, 2880763.36802438, 9254.44780348755,  0°02′26.04536″, 1.00000105661142
GPSⅠ036, 26.014287792, 106.301373868, 2880551.15234094, 8724.76244483241,  0°02′17.6747″, 1.00000093912121
GPSⅠ037, 26.012303256, 106.294095672, 2879939.72720231, 7813.49326725959,  0°02′03.26503″, 1.00000075319138
GPSⅠ038, 26.0129281584, 106.295819388, 2880132.36998932, 8292.74221418802,  0°02′10.83567″, 1.0000008484203
GPSⅠ039, 26.0114647188, 106.292436432, 2879681.35450137, 7352.19846056681,  0°01′55.97573″, 1.00000066688274
GPSⅠ040, 26.0102120304, 106.291203504, 2879295.58390486, 7009.51717780587,  0°01′50.55315″, 1.00000060616592
GPSⅠ041, 25.3039175596, 105.48441126, 2823322.82066797, -60773.0580143841, -0°15′37.14544″, 1.00004557019228
GPSⅠ042, 25.3028695672, 105.48232758, 2823002.91262535, -61356.528230361, -0°15′46.01959″, 1.00004644944476
GPSⅠ043, 25.301510974, 105.480588276, 2822586.98380979, -61844.2765731683, -0°15′53.37875″, 1.00004719090955
GPSⅠ044, 25.2955319424, 105.47534336, 2821979.46318207, -62194.8435809408, -0°15′58.54677″, 1.00004772748516
GPSⅠ045, 25.294248762, 105.473509484, 2821586.89943305, -62708.9647135654, -0°16′06.31615″, 1.00004851984325
GPSⅠ046, 25.2932683416, 105.472593464, 2821286.33399481, -62966.2707380404, -0°16′10.16269″, 1.00004891885851
GPSⅠ047, 25.291837896, 105.4718816, 2820846.98955988, -63167.2089479003, -0°16′13.08525″, 1.00004923161479
GPSⅠ048, 25.290550806, 105.472092884, 2820450.55406384, -63110.0513754427, -0°16′12.04869″, 1.00004914259075
GPSⅠ049, 25.283708606, 105.471388796, 2819576.6739749, -63310.8873308193, -0°16′14.7966″, 1.00004945593606
